date,ticker,p_down,p_side,p_up,actual
2024-08-28,360ONE.BO,0.386756,0.32335177,0.28989223,-0.37463226374950154
2024-08-28,3MINDIA.BO,0.38675815,0.32334957,0.2898923,-1.2595963851175493
2024-08-28,APLAPOLLO.BO,0.38675565,0.32335213,0.28989223,-1.3887477330183422
2024-08-28,AUBANK.BO,0.38675666,0.3233511,0.2898923,9.016008020161042
2024-08-28,AWL.BO,0.3867566,0.32335117,0.28989226,1.6491720573289563
2024-08-28,AAVAS.BO,0.38675544,0.3233524,0.2898922,1.1439160870190523
2024-08-28,ACE.BO,0.38675746,0.32335022,0.28989226,0.6771634319635826
2024-08-28,ADANIENSOL.BO,0.38675737,0.32335037,0.2898923,0.17043240327045706
2024-08-28,ADANIENT.BO,0.38675517,0.32335258,0.28989223,-0.3390951947729716
2024-08-28,ADANIGREEN.BO,0.38675597,0.32335177,0.28989226,3.682615736456914
2024-08-28,ADANIPORTS.BO,0.38675493,0.3233528,0.2898922,0.13602665670820474
2024-08-28,ADANIPOWER.BO,0.38675508,0.32335272,0.28989223,1.4420501990279524
2024-08-28,ATGL.BO,0.38675666,0.3233511,0.28989226,0.6659551174351191
2024-09-04,360ONE.BO,0.35288185,0.3973591,0.2497591,-0.7475028936137624
2024-09-04,3MINDIA.BO,0.35288125,0.39738244,0.24973638,0.3959633279240837
2024-09-04,APLAPOLLO.BO,0.3528812,0.39738274,0.24973607,-1.7483648415031507
2024-09-04,AUBANK.BO,0.35288176,0.39737993,0.24973832,4.978197674418604
2024-09-04,AWL.BO,0.35287976,0.3973773,0.24974293,-4.23705767003975
2024-09-04,AAVAS.BO,0.35288242,0.3973925,0.249725,2.0150975157392814
2024-09-04,ACE.BO,0.35288337,0.39736706,0.24974953,-2.0100071689816525
2024-09-04,ADANIENSOL.BO,0.35288036,0.3973747,0.24974501,-2.8583951211279723
2024-09-04,ADANIENT.BO,0.352881,0.3973765,0.24974243,-2.494602567427386
2024-09-04,ADANIGREEN.BO,0.35288185,0.39738318,0.24973495,-5.98963604072215
2024-09-04,ADANIPORTS.BO,0.3528819,0.3973807,0.24973743,-2.8594781131576754
2024-09-04,ADANIPOWER.BO,0.35288334,0.39737213,0.24974458,-3.672966652616324
2024-09-04,ATGL.BO,0.3528809,0.39739463,0.24972443,-5.6436991857572005
2024-09-11,360ONE.BO,0.33678007,0.3759764,0.28724355,-0.10164723569942063
2024-09-11,3MINDIA.BO,0.3367714,0.37602216,0.28720644,0.9035830194091808
2024-09-11,APLAPOLLO.BO,0.336774,0.37600774,0.2872182,0.4754614082145078
2024-09-11,AUBANK.BO,0.33677268,0.37601593,0.2872114,0.15922802548459675
2024-09-11,AWL.BO,0.33678484,0.3759526,0.28726253,-0.9941244048922814
2024-09-11,AAVAS.BO,0.33677602,0.37599847,0.28722548,2.085036148806047
2024-09-11,ACE.BO,0.33676997,0.37602925,0.28720078,7.602362370816067
2024-09-11,ADANIENSOL.BO,0.3367772,0.37599382,0.28722897,-1.9916953338146182
2024-09-11,ADANIENT.BO,0.3367819,0.37596422,0.28725386,0.5702418657335073
2024-09-11,ADANIGREEN.BO,0.33677998,0.37597808,0.2872419,7.401891807248126
2024-09-11,ADANIPORTS.BO,0.3367784,0.37598234,0.28723925,-0.11187076217045837
2024-09-11,ADANIPOWER.BO,0.33677503,0.37600383,0.28722104,3.9087379328552427
2024-09-11,ATGL.BO,0.33677182,0.37602007,0.28720808,-1.5821803544424522
2024-09-18,360ONE.BO,0.2670474,0.3796226,0.35333002,-4.4262610882928355
2024-09-18,3MINDIA.BO,0.2670475,0.3796233,0.35332924,-0.6003431193779519
2024-09-18,APLAPOLLO.BO,0.26704746,0.37962347,0.35332906,5.327073683237648
2024-09-18,AUBANK.BO,0.26704726,0.3796231,0.35332966,1.0367707695441162
2024-09-18,AWL.BO,0.2670471,0.37962317,0.35332972,-2.36175247468176
2024-09-18,AAVAS.BO,0.26704758,0.37962362,0.3533288,4.10970500706312
2024-09-18,ACE.BO,0.26704744,0.37962338,0.35332912,5.937761028681067
2024-09-18,ADANIENSOL.BO,0.26704723,0.3796227,0.35333002,6.7602707349374525
2024-09-18,ADANIENT.BO,0.26704717,0.37962317,0.35332966,5.09968847918437
2024-09-18,ADANIGREEN.BO,0.2670473,0.379623,0.35332972,6.065579829300759
2024-09-18,ADANIPORTS.BO,0.2670472,0.37962317,0.35332957,1.7464702273954806
2024-09-18,ADANIPOWER.BO,0.26704738,0.37962326,0.35332942,2.4566346859958723
2024-09-18,ATGL.BO,0.26704723,0.37962326,0.3533295,1.0213134372005863
2024-09-25,360ONE.BO,0.3177867,0.3314233,0.35079002,-6.949277018100481
2024-09-25,3MINDIA.BO,0.31780827,0.3314276,0.35076416,-1.764733553135937
2024-09-25,APLAPOLLO.BO,0.31781808,0.3314271,0.35075486,5.748075530595123
2024-09-25,AUBANK.BO,0.3177929,0.331425,0.35078207,0.09576565173001969
2024-09-25,AWL.BO,0.3178144,0.33142856,0.35075697,-1.506376599984759
2024-09-25,AAVAS.BO,0.3177775,0.3314219,0.3508005,-5.639246895579226
2024-09-25,ACE.BO,0.31779063,0.33142477,0.3507846,-4.134570002565853
2024-09-25,ADANIENSOL.BO,0.31780273,0.3314274,0.3507699,-2.797832543973688
2024-09-25,ADANIENT.BO,0.31779385,0.33142498,0.3507812,0.3897285661083823
2024-09-25,ADANIGREEN.BO,0.3177935,0.33142444,0.35078204,-12.499388732984631
2024-09-25,ADANIPORTS.BO,0.31779215,0.33142543,0.35078245,-1.967603226274035
2024-09-25,ADANIPOWER.BO,0.3177921,0.33142552,0.3507824,-3.2668967413580505
2024-09-25,ATGL.BO,0.31779492,0.331426,0.35077912,-3.6070923581806804
2024-10-03,360ONE.BO,0.70841104,0.17483804,0.116751015,6.365711422690476
2024-10-03,3MINDIA.BO,0.70840836,0.17483929,0.11675242,-0.5762169804043762
2024-10-03,APLAPOLLO.BO,0.7084094,0.17483883,0.116751805,-1.7119130035405006
